Threshold,False Positive Rate (x),True Positive Rate (y)
0.000000,1.000000,1.000000
0.001000,1.000000,1.000000
0.002000,1.000000,0.997925
0.003000,0.991701,0.997925
0.004000,0.983402,0.997925
0.005000,0.983402,0.997925
0.006000,0.981328,0.997925
0.007000,0.979253,0.995851
0.008000,0.979253,0.995851
0.009000,0.977178,0.995851
0.010000,0.966805,0.995851
0.011000,0.962656,0.995851
0.012000,0.962656,0.995851
0.013000,0.962656,0.995851
0.014000,0.958506,0.995851
0.015000,0.952282,0.995851
0.016000,0.943983,0.995851
0.017000,0.943983,0.995851
0.018000,0.943983,0.995851
0.019000,0.935685,0.995851
0.020000,0.931535,0.993776
0.021000,0.927386,0.993776
0.022000,0.921162,0.993776
0.023000,0.908714,0.993776
0.024000,0.908714,0.993776
0.025000,0.904564,0.993776
0.026000,0.904564,0.993776
0.027000,0.902490,0.993776
0.028000,0.902490,0.993776
0.029000,0.896266,0.993776
0.030000,0.896266,0.993776
0.031000,0.887967,0.991701
0.032000,0.887967,0.991701
0.033000,0.883817,0.991701
0.034000,0.881743,0.991701
0.035000,0.881743,0.991701
0.036000,0.877593,0.991701
0.037000,0.869295,0.991701
0.038000,0.867220,0.991701
0.039000,0.863071,0.991701
0.040000,0.863071,0.991701
0.041000,0.854772,0.991701
0.042000,0.844398,0.991701
0.043000,0.844398,0.991701
0.044000,0.840249,0.991701
0.045000,0.831950,0.991701
0.046000,0.827801,0.991701
0.047000,0.827801,0.991701
0.048000,0.821577,0.991701
0.049000,0.817427,0.991701
0.050000,0.813278,0.991701
0.051000,0.811203,0.991701
0.052000,0.807054,0.991701
0.053000,0.800830,0.991701
0.054000,0.798755,0.991701
0.055000,0.790456,0.991701
0.056000,0.786307,0.991701
0.057000,0.784232,0.991701
0.058000,0.780083,0.991701
0.059000,0.778008,0.991701
0.060000,0.778008,0.991701
0.061000,0.767635,0.991701
0.062000,0.759336,0.991701
0.063000,0.751037,0.991701
0.064000,0.740664,0.989627
0.065000,0.736515,0.989627
0.066000,0.732365,0.989627
0.067000,0.730290,0.987552
0.068000,0.724066,0.987552
0.069000,0.715768,0.987552
0.070000,0.713693,0.987552
0.071000,0.711618,0.987552
0.072000,0.707469,0.987552
0.073000,0.707469,0.987552
0.074000,0.703320,0.987552
0.075000,0.699170,0.987552
0.076000,0.695021,0.987552
0.077000,0.690871,0.987552
0.078000,0.688797,0.987552
0.079000,0.684647,0.987552
0.080000,0.678423,0.985477
0.081000,0.672199,0.985477
0.082000,0.668050,0.985477
0.083000,0.663900,0.985477
0.084000,0.655602,0.985477
0.085000,0.649378,0.985477
0.086000,0.645228,0.985477
0.087000,0.643154,0.985477
0.088000,0.643154,0.985477
0.089000,0.636929,0.985477
0.090000,0.634855,0.983402
0.091000,0.630705,0.983402
0.092000,0.624481,0.983402
0.093000,0.620332,0.983402
0.094000,0.620332,0.983402
0.095000,0.616183,0.981328
0.096000,0.614108,0.981328
0.097000,0.614108,0.981328
0.098000,0.612033,0.981328
0.099000,0.605809,0.981328
0.100000,0.599585,0.981328
0.101000,0.589212,0.981328
0.102000,0.589212,0.981328
0.103000,0.582988,0.981328
0.104000,0.578838,0.981328
0.105000,0.578838,0.981328
0.106000,0.578838,0.981328
0.107000,0.576763,0.981328
0.108000,0.576763,0.981328
0.109000,0.570539,0.981328
0.110000,0.568465,0.981328
0.111000,0.556017,0.981328
0.112000,0.551867,0.981328
0.113000,0.547718,0.979253
0.114000,0.539419,0.979253
0.115000,0.535270,0.979253
0.116000,0.533195,0.979253
0.117000,0.533195,0.979253
0.118000,0.533195,0.979253
0.119000,0.526971,0.979253
0.120000,0.520747,0.977178
0.121000,0.516598,0.977178
0.122000,0.508299,0.977178
0.123000,0.506224,0.977178
0.124000,0.504149,0.977178
0.125000,0.497925,0.977178
0.126000,0.497925,0.977178
0.127000,0.497925,0.977178
0.128000,0.497925,0.977178
0.129000,0.489627,0.977178
0.130000,0.487552,0.977178
0.131000,0.479253,0.977178
0.132000,0.475104,0.977178
0.133000,0.470954,0.977178
0.134000,0.466805,0.977178
0.135000,0.462656,0.977178
0.136000,0.462656,0.977178
0.137000,0.458506,0.977178
0.138000,0.454357,0.977178
0.139000,0.443983,0.977178
0.140000,0.441909,0.977178
0.141000,0.439834,0.977178
0.142000,0.439834,0.977178
0.143000,0.435685,0.975104
0.144000,0.435685,0.975104
0.145000,0.435685,0.975104
0.146000,0.433610,0.975104
0.147000,0.431535,0.975104
0.148000,0.429461,0.970954
0.149000,0.425311,0.968880
0.150000,0.423237,0.968880
0.151000,0.423237,0.968880
0.152000,0.419087,0.968880
0.153000,0.419087,0.968880
0.154000,0.419087,0.968880
0.155000,0.419087,0.968880
0.156000,0.419087,0.968880
0.157000,0.414938,0.968880
0.158000,0.412863,0.966805
0.159000,0.410788,0.966805
0.160000,0.408714,0.964730
0.161000,0.408714,0.964730
0.162000,0.406639,0.964730
0.163000,0.406639,0.964730
0.164000,0.402490,0.964730
0.165000,0.398340,0.964730
0.166000,0.394191,0.964730
0.167000,0.394191,0.964730
0.168000,0.394191,0.964730
0.169000,0.390041,0.964730
0.170000,0.387967,0.964730
0.171000,0.387967,0.962656
0.172000,0.387967,0.962656
0.173000,0.385892,0.962656
0.174000,0.383817,0.962656
0.175000,0.381743,0.962656
0.176000,0.377593,0.962656
0.177000,0.377593,0.962656
0.178000,0.375519,0.962656
0.179000,0.369295,0.962656
0.180000,0.365145,0.962656
0.181000,0.365145,0.962656
0.182000,0.363071,0.962656
0.183000,0.354772,0.962656
0.184000,0.352697,0.960581
0.185000,0.352697,0.960581
0.186000,0.352697,0.958506
0.187000,0.352697,0.956432
0.188000,0.352697,0.956432
0.189000,0.350622,0.956432
0.190000,0.350622,0.956432
0.191000,0.348548,0.956432
0.192000,0.346473,0.956432
0.193000,0.346473,0.956432
0.194000,0.346473,0.956432
0.195000,0.344398,0.956432
0.196000,0.342324,0.956432
0.197000,0.342324,0.954357
0.198000,0.342324,0.954357
0.199000,0.342324,0.954357
0.200000,0.340249,0.954357
0.201000,0.340249,0.952282
0.202000,0.340249,0.952282
0.203000,0.340249,0.952282
0.204000,0.340249,0.952282
0.205000,0.340249,0.952282
0.206000,0.336100,0.952282
0.207000,0.336100,0.952282
0.208000,0.336100,0.952282
0.209000,0.336100,0.952282
0.210000,0.336100,0.952282
0.211000,0.336100,0.952282
0.212000,0.334025,0.952282
0.213000,0.334025,0.952282
0.214000,0.334025,0.952282
0.215000,0.329876,0.952282
0.216000,0.327801,0.952282
0.217000,0.327801,0.952282
0.218000,0.327801,0.952282
0.219000,0.327801,0.952282
0.220000,0.327801,0.952282
0.221000,0.327801,0.952282
0.222000,0.325726,0.950207
0.223000,0.321577,0.950207
0.224000,0.317427,0.950207
0.225000,0.317427,0.950207
0.226000,0.315353,0.950207
0.227000,0.315353,0.950207
0.228000,0.315353,0.950207
0.229000,0.313278,0.950207
0.230000,0.313278,0.950207
0.231000,0.309129,0.950207
0.232000,0.302905,0.950207
0.233000,0.302905,0.948133
0.234000,0.300830,0.948133
0.235000,0.298755,0.948133
0.236000,0.298755,0.948133
0.237000,0.294606,0.948133
0.238000,0.294606,0.948133
0.239000,0.292531,0.948133
0.240000,0.292531,0.948133
0.241000,0.290456,0.948133
0.242000,0.290456,0.948133
0.243000,0.288382,0.948133
0.244000,0.288382,0.948133
0.245000,0.288382,0.948133
0.246000,0.286307,0.948133
0.247000,0.286307,0.946058
0.248000,0.286307,0.946058
0.249000,0.286307,0.946058
0.250000,0.286307,0.946058
0.251000,0.286307,0.946058
0.252000,0.284232,0.946058
0.253000,0.282158,0.946058
0.254000,0.280083,0.946058
0.255000,0.280083,0.946058
0.256000,0.275934,0.946058
0.257000,0.275934,0.946058
0.258000,0.275934,0.946058
0.259000,0.273859,0.946058
0.260000,0.273859,0.946058
0.261000,0.273859,0.946058
0.262000,0.273859,0.946058
0.263000,0.273859,0.946058
0.264000,0.271784,0.946058
0.265000,0.271784,0.946058
0.266000,0.271784,0.946058
0.267000,0.269710,0.946058
0.268000,0.269710,0.946058
0.269000,0.269710,0.946058
0.270000,0.267635,0.943983
0.271000,0.267635,0.943983
0.272000,0.267635,0.943983
0.273000,0.265560,0.943983
0.274000,0.263485,0.943983
0.275000,0.263485,0.943983
0.276000,0.261411,0.943983
0.277000,0.257261,0.943983
0.278000,0.255187,0.943983
0.279000,0.253112,0.943983
0.280000,0.253112,0.943983
0.281000,0.253112,0.941909
0.282000,0.253112,0.939834
0.283000,0.248963,0.939834
0.284000,0.248963,0.939834
0.285000,0.248963,0.939834
0.286000,0.248963,0.939834
0.287000,0.248963,0.939834
0.288000,0.248963,0.939834
0.289000,0.248963,0.939834
0.290000,0.248963,0.939834
0.291000,0.248963,0.939834
0.292000,0.244813,0.939834
0.293000,0.244813,0.939834
0.294000,0.244813,0.939834
0.295000,0.244813,0.939834
0.296000,0.244813,0.939834
0.297000,0.244813,0.939834
0.298000,0.244813,0.939834
0.299000,0.244813,0.939834
0.300000,0.244813,0.939834
0.301000,0.242739,0.939834
0.302000,0.242739,0.939834
0.303000,0.240664,0.939834
0.304000,0.238589,0.939834
0.305000,0.236515,0.939834
0.306000,0.232365,0.939834
0.307000,0.230290,0.939834
0.308000,0.230290,0.939834
0.309000,0.226141,0.939834
0.310000,0.226141,0.939834
0.311000,0.226141,0.939834
0.312000,0.226141,0.939834
0.313000,0.226141,0.939834
0.314000,0.224066,0.939834
0.315000,0.224066,0.939834
0.316000,0.221992,0.939834
0.317000,0.221992,0.939834
0.318000,0.221992,0.939834
0.319000,0.219917,0.939834
0.320000,0.217842,0.939834
0.321000,0.217842,0.939834
0.322000,0.217842,0.939834
0.323000,0.215768,0.939834
0.324000,0.213693,0.939834
0.325000,0.213693,0.939834
0.326000,0.213693,0.939834
0.327000,0.211618,0.939834
0.328000,0.211618,0.939834
0.329000,0.209544,0.939834
0.330000,0.209544,0.937759
0.331000,0.209544,0.937759
0.332000,0.207469,0.935685
0.333000,0.207469,0.935685
0.334000,0.207469,0.933610
0.335000,0.207469,0.933610
0.336000,0.207469,0.933610
0.337000,0.205394,0.931535
0.338000,0.205394,0.931535
0.339000,0.205394,0.931535
0.340000,0.205394,0.931535
0.341000,0.205394,0.931535
0.342000,0.205394,0.931535
0.343000,0.205394,0.929461
0.344000,0.205394,0.927386
0.345000,0.203320,0.927386
0.346000,0.201245,0.927386
0.347000,0.201245,0.927386
0.348000,0.201245,0.927386
0.349000,0.201245,0.927386
0.350000,0.201245,0.927386
0.351000,0.201245,0.925311
0.352000,0.201245,0.925311
0.353000,0.201245,0.925311
0.354000,0.199170,0.925311
0.355000,0.199170,0.923237
0.356000,0.199170,0.923237
0.357000,0.199170,0.921162
0.358000,0.199170,0.921162
0.359000,0.199170,0.919087
0.360000,0.199170,0.919087
0.361000,0.197095,0.919087
0.362000,0.197095,0.919087
0.363000,0.197095,0.919087
0.364000,0.197095,0.919087
0.365000,0.197095,0.919087
0.366000,0.197095,0.919087
0.367000,0.195021,0.919087
0.368000,0.192946,0.919087
0.369000,0.192946,0.919087
0.370000,0.192946,0.919087
0.371000,0.192946,0.919087
0.372000,0.192946,0.917012
0.373000,0.192946,0.914938
0.374000,0.192946,0.914938
0.375000,0.192946,0.914938
0.376000,0.186722,0.914938
0.377000,0.186722,0.914938
0.378000,0.186722,0.914938
0.379000,0.186722,0.914938
0.380000,0.186722,0.914938
0.381000,0.186722,0.914938
0.382000,0.186722,0.912863
0.383000,0.186722,0.912863
0.384000,0.186722,0.912863
0.385000,0.186722,0.910788
0.386000,0.186722,0.908714
0.387000,0.184647,0.906639
0.388000,0.184647,0.906639
0.389000,0.184647,0.906639
0.390000,0.182573,0.906639
0.391000,0.180498,0.906639
0.392000,0.180498,0.906639
0.393000,0.180498,0.906639
0.394000,0.178423,0.906639
0.395000,0.178423,0.906639
0.396000,0.178423,0.904564
0.397000,0.178423,0.904564
0.398000,0.178423,0.904564
0.399000,0.178423,0.904564
0.400000,0.176349,0.902490
0.401000,0.176349,0.902490
0.402000,0.176349,0.902490
0.403000,0.176349,0.900415
0.404000,0.176349,0.900415
0.405000,0.176349,0.900415
0.406000,0.176349,0.898340
0.407000,0.176349,0.898340
0.408000,0.176349,0.898340
0.409000,0.176349,0.898340
0.410000,0.176349,0.894191
0.411000,0.176349,0.892116
0.412000,0.176349,0.892116
0.413000,0.176349,0.892116
0.414000,0.176349,0.892116
0.415000,0.174274,0.892116
0.416000,0.174274,0.892116
0.417000,0.174274,0.890041
0.418000,0.174274,0.890041
0.419000,0.174274,0.887967
0.420000,0.174274,0.887967
0.421000,0.174274,0.887967
0.422000,0.174274,0.887967
0.423000,0.172199,0.887967
0.424000,0.170124,0.887967
0.425000,0.170124,0.887967
0.426000,0.170124,0.887967
0.427000,0.170124,0.887967
0.428000,0.170124,0.885892
0.429000,0.170124,0.885892
0.430000,0.168050,0.885892
0.431000,0.168050,0.885892
0.432000,0.168050,0.883817
0.433000,0.168050,0.883817
0.434000,0.168050,0.883817
0.435000,0.168050,0.883817
0.436000,0.168050,0.883817
0.437000,0.165975,0.883817
0.438000,0.163900,0.883817
0.439000,0.163900,0.883817
0.440000,0.163900,0.883817
0.441000,0.163900,0.883817
0.442000,0.163900,0.883817
0.443000,0.161826,0.883817
0.444000,0.159751,0.883817
0.445000,0.159751,0.883817
0.446000,0.159751,0.881743
0.447000,0.157676,0.879668
0.448000,0.157676,0.879668
0.449000,0.157676,0.879668
0.450000,0.157676,0.879668
0.451000,0.157676,0.877593
0.452000,0.155602,0.877593
0.453000,0.155602,0.875519
